sweep over 100 posts x 14998 catalogued images (query mode: full_post)

  top_k   thr    top1  recall  wrong  lookalike  refusals
      5  0.10   0.760   0.733      0          0   10/10
      5  0.15   0.760   0.733      0          0   10/10
      5  0.18   0.760   0.733      0          0   10/10
      5  0.20   0.760   0.733      0          0   10/10
      5  0.22   0.760   0.733      0          0   10/10
      5  0.25   0.750   0.722      0          0   10/10
      5  0.30   0.410   0.344      0          0   10/10

     10  0.10   0.850   0.833      0          0   10/10
     10  0.15   0.850   0.833      0          0   10/10
     10  0.18   0.850   0.833      0          0   10/10
     10  0.20   0.850   0.833      0          0   10/10
     10  0.22   0.850   0.833      0          0   10/10
     10  0.25   0.810   0.789      0          0   10/10
     10  0.30   0.420   0.356      0          0   10/10

     20  0.10   0.890   0.878      0          0   10/10
     20  0.15   0.890   0.878      0          0   10/10
     20  0.18   0.890   0.878      0          0   10/10
     20  0.20   0.890   0.878      0          0   10/10
     20  0.22   0.890   0.878      0          0   10/10
     20  0.25   0.830   0.811      0          0   10/10
     20  0.30   0.430   0.367      0          0   10/10

     50  0.10   0.940   0.933      0          0   10/10
     50  0.15   0.940   0.933      0          0   10/10
     50  0.18   0.940   0.933      0          0   10/10
     50  0.20   0.940   0.933      0          0   10/10
     50  0.22   0.920   0.911      0          0   10/10
     50  0.25   0.830   0.811      0          0   10/10
     50  0.30   0.430   0.367      0          0   10/10

BEST_TOP_K=50 BEST_THRESHOLD=0.10 top1=0.940 lookalikes=0
