sweep over 100 posts x 14998 catalogued images (query mode: subject_query)

  top_k   thr    top1  recall  wrong  lookalike  refusals
      5  0.10   0.970   0.967      0          0   10/10
      5  0.15   0.970   0.967      0          0   10/10
      5  0.18   0.970   0.967      0          0   10/10
      5  0.20   0.970   0.967      0          0   10/10
      5  0.22   0.970   0.967      0          0   10/10
      5  0.25   0.970   0.967      0          0   10/10
      5  0.30   0.970   0.967      0          0   10/10

     10  0.10   1.000   1.000      0          0   10/10
     10  0.15   1.000   1.000      0          0   10/10
     10  0.18   1.000   1.000      0          0   10/10
     10  0.20   1.000   1.000      0          0   10/10
     10  0.22   1.000   1.000      0          0   10/10
     10  0.25   1.000   1.000      0          0   10/10
     10  0.30   1.000   1.000      0          0   10/10

     20  0.10   1.000   1.000      0          0   10/10
     20  0.15   1.000   1.000      0          0   10/10
     20  0.18   1.000   1.000      0          0   10/10
     20  0.20   1.000   1.000      0          0   10/10
     20  0.22   1.000   1.000      0          0   10/10
     20  0.25   1.000   1.000      0          0   10/10
     20  0.30   1.000   1.000      0          0   10/10

     50  0.10   1.000   1.000      0          0   10/10
     50  0.15   1.000   1.000      0          0   10/10
     50  0.18   1.000   1.000      0          0   10/10
     50  0.20   1.000   1.000      0          0   10/10
     50  0.22   1.000   1.000      0          0   10/10
     50  0.25   1.000   1.000      0          0   10/10
     50  0.30   1.000   1.000      0          0   10/10

BEST_TOP_K=10 BEST_THRESHOLD=0.10 top1=1.000 lookalikes=0
