sweep over 100 posts x 14998 catalogued images (query mode: title_only)

  top_k   thr    top1  recall  wrong  lookalike  refusals
      5  0.10   0.750   0.722      0          0   10/10
      5  0.15   0.750   0.722      0          0   10/10
      5  0.18   0.750   0.722      0          0   10/10
      5  0.20   0.750   0.722      0          0   10/10
      5  0.22   0.740   0.711      0          0   10/10
      5  0.25   0.720   0.689      0          0   10/10
      5  0.30   0.570   0.522      0          0   10/10

     10  0.10   0.850   0.833      0          0   10/10
     10  0.15   0.850   0.833      0          0   10/10
     10  0.18   0.850   0.833      0          0   10/10
     10  0.20   0.850   0.833      0          0   10/10
     10  0.22   0.810   0.789      0          0   10/10
     10  0.25   0.780   0.756      0          0   10/10
     10  0.30   0.570   0.522      0          0   10/10

     20  0.10   0.890   0.878      0          0   10/10
     20  0.15   0.890   0.878      0          0   10/10
     20  0.18   0.890   0.878      0          0   10/10
     20  0.20   0.880   0.867      0          0   10/10
     20  0.22   0.840   0.822      0          0   10/10
     20  0.25   0.800   0.778      0          0   10/10
     20  0.30   0.580   0.533      0          0   10/10

     50  0.10   0.960   0.956      0          0   10/10
     50  0.15   0.960   0.956      0          0   10/10
     50  0.18   0.960   0.956      0          0   10/10
     50  0.20   0.940   0.933      0          0   10/10
     50  0.22   0.880   0.867      0          0   10/10
     50  0.25   0.810   0.789      0          0   10/10
     50  0.30   0.580   0.533      0          0   10/10

BEST_TOP_K=50 BEST_THRESHOLD=0.10 top1=0.960 lookalikes=0
